Time,vx,vy,vz,x,y,z,Bx,By,Bz
1537348950.0,-433.2012284075628,-29.185871562019724,-28.728828398907773,1443450.061625,-215034.048498,27269.7403485,3.529271125793457,-1.3300760388374329,-0.7578378617763519
1537349010.0,-433.7824401855469,-29.559358596801758,-29.45034694671631,1443447.6829585,-215030.81391949998,27273.949542000002,3.5462266206741333,-1.2225720882415771,-1.0149818062782288
1537349070.0,-432.6258036295573,-30.605044587453207,-28.458497365315754,1443445.3043595,-215027.57928449998,27278.158717,3.557987093925476,-1.2570477724075317,-0.8542047142982483
1537349130.0,-432.6850981165151,-28.794885541571944,-27.334848810414798,1443442.925828,-215024.3445925,27282.3678735,3.6688458919525146,-1.1757954955101013,-0.5802203416824341
1537349190.0,-434.5797894587282,-28.363710622318454,-27.5778106314237,1443440.547363,-215021.10984350002,27286.577011,3.737205147743225,-1.077462613582611,-0.8252553045749664
1537349250.0,-434.5231018066406,-29.955791473388672,-26.828707695007324,1443438.168965,-215017.875038,27290.786130499997,3.749169945716858,-1.313964307308197,-0.9001761376857758
1537349310.0,-432.4501388549805,-32.22538315455119,-26.31447582244873,1443435.7906344999,-215014.6401755,27294.995231499997,3.916094660758972,-1.2889378070831299,0.011050664819777012
1537349370.0,-431.6864393890881,-31.9506718369781,-26.006378048756083,1443433.412371,-215011.405256,27299.2043135,3.8548065423965454,-1.1003696918487549,-0.29149872064590454
1537349430.0,-431.8197461737961,-29.68347436873639,-25.320297241210938,1443431.0341745,-215008.17028000002,27303.4133775,3.8587100505828857,-1.189381718635559,-0.406462162733078
1537349490.0,-431.7882039388021,-29.410799249013266,-25.693016211191814,1443428.656045,-215004.93524700002,27307.622423,3.906508684158325,-1.142126441001892,-0.4221358150243759
1537349550.0,-431.75811767578125,-29.234299659729004,-26.84829807281494,1443426.2779825,-215001.70015699998,27311.831449999998,3.8478275537490845,-1.1766067743301392,-0.5010498017072678
1537349610.0,-431.75979163998466,-28.876477007006034,-28.5423559908007,1443423.8999875,-214998.4650105,27316.0404585,3.9180625677108765,-1.124243676662445,-0.49652180075645447
1537349670.0,-431.81133132684425,-28.75096815140521,-29.614901902245695,1443421.5220595,-214995.2298075,27320.249448000002,3.907345414161682,-1.1341473460197449,-0.7098069190979004
1537349730.0,-431.70593617757163,-29.177067502339682,-28.558342043558756,1443419.1441985,-214991.99454749998,27324.4584195,3.9245338439941406,-1.1456362009048462,-0.5667176246643066
1537349790.0,-432.22740173339844,-29.651966094970703,-26.233905792236328,1443416.766405,-214988.7592305,27328.6673725,3.9448540210723877,-1.0896563529968262,-0.4982304126024246
1537349850.0,-433.1584987953061,-30.432227212874615,-24.34050935213683,1443414.3886785,-214985.5238565,27332.876306500002,3.899967670440674,-1.11882084608078,-0.23304414749145508
1537349910.0,-433.01573656426103,-31.21442807307009,-22.802249877179257,1443412.011019,-214982.28842549998,27337.0852225,3.804579496383667,-1.056994080543518,0.07097109220921993
1537349970.0,-432.1994074503581,-30.78140729268392,-21.933355617523194,1443409.6334270001,-214979.052938,27341.29412,3.7616807222366333,-0.9952114224433899,0.40833090245723724
1537350030.0,-431.9781188964844,-29.972190856933594,-21.18466567993164,1443407.2559025,-214975.817394,27345.5029985,3.9311580657958984,-1.0056463778018951,0.24642451852560043
1537350090.0,-432.45513065525745,-30.228491892580127,-20.591790746469968,1443404.878445,-214972.581793,27349.7118585,3.8011618852615356,-1.0667135119438171,0.26433712244033813
